"seller_id","seller_type","name","domain","is_passthrought","comment","version","seller_json_source"
"3e98c2db-c14c-4030-af35-bbb25b06d156","INTERMEDIARY","SoMo Audience","izonnetwork.com",NA,NA,"1.0","admixer.net"
"81aedb7e-ca73-4498-997c-74f3b92481ea","INTERMEDIARY","Mobupps","mobupps.com",NA,NA,"1.0","admixer.net"
"e23d83ad-e6e8-4597-bada-7cd86782089c","INTERMEDIARY","Chocolate","Chocolateplatform.com",NA,NA,"1.0","admixer.net"
"73356716-756e-488b-8fee-6493922d5c43","INTERMEDIARY","Adtelligent VAST oRTB","adtelligent.com",NA,NA,"1.0","admixer.net"
"b6d49994-83c5-4ff9-aa8a-c9eb99d1bc8c","INTERMEDIARY","Mars.Video","mars.video",NA,NA,"1.0","admixer.net"
"c64a8371-d05a-43df-ae5a-28664563ecdb","INTERMEDIARY","Ubrik Video","elixirvideo.co",NA,NA,"1.0","admixer.net"
"2e1cb1ea-814c-476a-8627-d474e41378df","INTERMEDIARY","AcuityAds","acuityads.com",NA,NA,"1.0","admixer.net"
"2ea36020-047e-4a89-ad9b-634cf65d2737","BOTH","Velis Media","velismedia.com",NA,NA,"1.0","admixer.net"
"1da9b25e-9aa4-4987-8872-8413d28b1903","INTERMEDIARY","VeuHub","veuhub.com",NA,NA,"1.0","admixer.net"
"b7004071-3f0e-4201-84fd-d4543438c429","INTERMEDIARY","Ad-topia","bid.adtopiartb.live",NA,NA,"1.0","admixer.net"
"7229a2a4-7b59-4102-b92d-8266f63b437f","INTERMEDIARY","Clickio","adexchange.clickio.com",NA,NA,"1.0","admixer.net"
"3e9d4500-3193-4c50-b9d0-0135904bc8f7","INTERMEDIARY","Silvermob","silvermob.com",NA,NA,"1.0","admixer.net"
"f51a08db-3eb4-43c3-b311-eb6af1f772bd","INTERMEDIARY","Brightcom Video","brightcom.com",NA,NA,"1.0","admixer.net"
"6010eded-deeb-4444-86a9-72dcfd3d759a","INTERMEDIARY","RTB Switch","rtbswitch.com",NA,NA,"1.0","admixer.net"
"954d060c-4caf-4d05-8dc0-16642e323b6d","INTERMEDIARY","Keenkale New","keenkale.com",NA,NA,"1.0","admixer.net"
"682f17e3-cf9a-4479-b69a-ab8a6cb5a106","INTERMEDIARY","Adthink","adthink.com",NA,NA,"1.0","admixer.net"
"ca915e98-fd7a-4bdd-af11-fd0974782568","BOTH","Collectcent","collectcent.com",NA,NA,"1.0","admixer.net"
"bbac578a-7857-406b-b4a9-bb38f3b3cab6","INTERMEDIARY","AdservMe (by S&W)","adservme.co",NA,NA,"1.0","admixer.net"
"8f69565a-1024-409f-b9c7-964cc71c3b48","INTERMEDIARY","Bidsopt","bidsopt.com",NA,NA,"1.0","admixer.net"
"34376fd9-0ec3-424b-ac08-bebb707a2e02","INTERMEDIARY","Solavid","solavid.com",NA,NA,"1.0","admixer.net"
"a80e4ca1-f52f-4aa5-98e1-010c8d08251b","BOTH","Do Global / AlgoriX","algorix.co",NA,NA,"1.0","admixer.net"
"b81743f7-b474-4c19-8479-8697021abdd2","BOTH","Aniview Inc.","aniview.com",NA,NA,"1.0","admixer.net"
"5fa44cf2-0fb7-4cb9-86ca-75404b85ad44","INTERMEDIARY","Creative Clicks","reativeclicks.com",NA,NA,"1.0","admixer.net"
"984e50a6-216f-42a7-be48-e5e68a3b7018","INTERMEDIARY","SickAds (TUTANOTA)","sickads.com",NA,NA,"1.0","admixer.net"
"2878f07c-cc3f-4f8a-a26c-8e6033a539a6","BOTH","My.com B.V.","my.com",NA,NA,"1.0","admixer.net"
